"bias_type","k_scenario","true_effect","true_tau","n_sims","naive_bias","naive_rmse","naive_mae","tf_bias","tf_rmse","tf_mae","tf_convergence","pp_bias","pp_rmse","pp_mae","pp_convergence","pp_pct_peese","pp_pct_negative_intercept","copas_bias","copas_rmse","copas_mae","copas_convergence","naive_tau2_bias","tf_tau2_bias","pp_tau2_bias","copas_tau2_bias","naive_pi_width","tf_pi_width","pp_pi_width","copas_pi_width","naive_coverage","naive_coverage_se","tf_coverage","tf_coverage_se","pp_coverage","pp_coverage_se","copas_coverage","copas_coverage_se"
"none",10,0.5,0.1,100,0.00272139529039182,0.0798490827202741,0.0624556334503491,0.00138713846980617,0.080311506509435,0.0632215814342405,1,-0.0810635524773293,1.00862137146252,0.829405258023352,1,0.03,0.36,0.00203800727358802,0.103295262722105,0.0815350031690885,0.94,0.00300005878459992,0.00363530290115511,0.00431753914868245,-0.000653138268323882,0.549975675800634,0.556659265215098,5.86092404571301,0.627012059167633,0.98,0.014,0.97,0.017058722109232,0.99,0.0099498743710662,0.88,0.0335172232638557
"none",10,0.5,0.3,100,-0.00689200690732224,0.112630778265937,0.092482083026769,-0.017454802891621,0.115869484587551,0.0965960442793551,1,-0.996470083014996,1.94397816455293,1.6022997868876,1,0.05,0.62,-0.013922804830048,0.189266452720072,0.142954564983067,0.99,0.0115653719827343,0.0163610028321153,0.0105210176334226,-0.000682862518884112,1.48358171774438,1.50436496528835,8.9932245255311,1.56394670154399,1,0,1,0,0.95,0.0217944947177034,0.99,0.01
"none",10,0.5,0.5,100,-0.0113030367216108,0.165097651328756,0.132836601462953,-0.0295538344150506,0.16957052331947,0.140448221517402,1,-2.07376989794987,2.82410902209916,2.46457276041938,1,0.18,0.82,-0.0379222040132633,0.260522072761012,0.197596425930272,1,0.00304224536428046,0.0138481121378507,-0.0366038781968818,-0.0221620950379418,2.3424574364269,2.37865477268174,10.2309078812908,2.43556529143119,1,0,1,0,0.89,0.031288975694324,1,0
"none",10,0.8,0.1,100,-0.00692289038796087,0.0692596874103019,0.0543602026324964,-0.0105339195040379,0.0798955030317797,0.0615193126417359,1,-0.28248996720582,1.11143448483219,0.850940730509406,1,0.04,0.24,-0.0107753232160794,0.0792526684605767,0.060870921899225,0.83,0.00285031572681944,0.00451712219629404,0.00326313172310616,-0.000128372207795301,0.549914103931024,0.570398970775972,5.71427083492726,0.721604029096221,0.98,0.014,0.96,0.0195959179422654,0.98,0.014,0.28,0.049284030503304
"none",10,0.8,0.3,100,-0.0155323223456613,0.114278037956397,0.0898525419316448,-0.0283180359397587,0.121098664922335,0.0941018270669273,1,-1.2779506505986,2.04239798514523,1.72202853120664,1,0.09,0.65,-0.0525453667277842,0.256235043604469,0.1544873854548,0.94,0.00726183618579273,0.013785184894025,-0.000425470510519988,0.0111500424640436,1.44217409048806,1.47794676277881,8.48440497550505,1.82429627460638,0.98,0.014,0.98,0.014,0.92,0.0271293199325011,0.84,0.0378125274749329
"none",10,0.8,0.5,100,-0.0150854788380134,0.179769589691238,0.146902254578282,-0.0333096856702929,0.181122415571369,0.146158216810221,1,-2.81165693881504,3.19691062266121,2.84478569383675,1,0.41,0.93,-0.0362849332155311,0.225843144202201,0.176308253543331,0.99,-0.00610468136063045,0.00617900921030724,-0.0870825185511891,-0.0216634987098459,2.3127524893439,2.35089502646063,8.31069212393081,2.46454973506798,0.99,0.0099498743710662,0.99,0.0099498743710662,0.61,0.0487749935930288,0.92,0.0272659924344291
"none",20,0.3,0.1,100,-0.00131989848190353,0.0556753195329726,0.0435677733789065,-0.00405092977163715,0.0641733346203038,0.0506585826839266,1,-0.05888979539745,0.861426370581414,0.703915659800088,1,0.11,0.38,-0.000959107968521206,0.0800679314275112,0.0634141766824546,1,0.0020628196294087,0.00631179392149662,0.0012069099406769,0.000213312090044677,0.45920174872811,0.520343413855544,3.42904921008763,0.51416752620461,0.98,0.014,0.98,0.014,0.9,0.03,0.97,0.017058722109232
"none",20,0.3,0.3,100,0.00115749960318356,0.080213725534065,0.0623348699830635,-0.0103709100739957,0.0889242579080756,0.0658688946674641,1,-0.593881314950118,1.25412679945491,1.02956338086493,1,0.09,0.59,-0.0141628551111954,0.135637378655028,0.107355672124862,1,-0.00185844989632243,0.00650641261798622,-0.00376345533696178,-0.00802337637512794,1.25130849039262,1.30212769941979,5.37404256573191,1.28395611552487,1,0,1,0,0.92,0.0271293199325011,1,0
"none",20,0.3,0.5,100,-0.0353262960372197,0.1277328078246,0.10146574621588,-0.0466822413429685,0.127671021723864,0.102236830219107,1,-1.13356124410863,1.83591411565745,1.57316203579548,1,0.14,0.73,-0.0338975026269738,0.203181560886044,0.15674310203144,1,-0.0265269481801173,-0.0186901082364573,-0.0359997315328153,-0.0389739884940243,2.00405364785126,2.0312693926771,7.17557552169997,2.04220061941414,1,0,1,0,0.9,0.03,0.99,0.0099498743710662
"none",20,0.5,0.1,100,0.0073493618821359,0.0522338541760899,0.0401037870191738,0.00562259226688928,0.05837510985496,0.0460953261923175,1,-0.272178674926158,0.813170554887113,0.664288210484698,1,0.07,0.4,-0.00518681408261098,0.0768733816666903,0.0618813287279677,1,0.00484885636667147,0.00681961429153188,0.00496178707396198,0.00494359061352675,0.497967081192042,0.527944807084715,3.63165215418242,0.570892647210943,0.99,0.0099498743710662,1,0,0.96,0.0195959179422654,1,0
