"true_effect","true_tau","k_total","k_published","k_unpublished","naive_effect","naive_tau2","naive_pi_lower","naive_pi_upper","naive_pi_width","true_ma_effect","true_ma_tau2","true_pi_lower","true_pi_upper","true_pi_width","tf_effect","tf_tau2","tf_k_imputed","tf_pi_lower","tf_pi_upper","tf_pi_width","pp_effect","pp_tau2","pp_method","pp_pi_lower","pp_pi_upper","pp_pi_width","naive_pi_covers_true","tf_pi_covers_true","pp_pi_covers_true","true_pi_covers_true","scenario_id","bias_strength_factor"
0.3,0.1,20,20,0,0.247647322827661,0.0268781304578864,-0.11759447316738,0.612889118822702,0.730483591990082,0.247647322827661,0.0268781304578864,-0.11759447316738,0.612889118822702,0.730483591990082,0.247647322827661,0.0268781304578864,0,-0.11759447316738,0.612889118822702,0.730483591990082,0.462641294117965,0.0301750248974023,"PET",-1.97436915586269,2.89965174409862,4.87402089996132,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.268440143943802,0,0.170704055028005,0.3661762328596,0.195472177831595,0.268440143943802,0,0.170704055028005,0.3661762328596,0.195472177831595,0.268440143943802,0,0,0.170704055028005,0.3661762328596,0.195472177831595,1.06882297309441,0,"PET",-0.372155282098509,2.50980122828733,2.88195651038584,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.298732815290799,0,0.202321367474321,0.395144263107276,0.192822895632954,0.298732815290799,0,0.202321367474321,0.395144263107276,0.192822895632954,0.298732815290799,0,0,0.202321367474321,0.395144263107276,0.192822895632954,0.784843874659066,0,"PEESE",0.116715768805893,1.45297198051224,1.33625621170635,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.194107957527025,0.00940742954745995,-0.0347862953090446,0.423002210363095,0.45778850567214,0.194107957527025,0.00940742954745995,-0.0347862953090446,0.423002210363095,0.45778850567214,0.160621574701293,0.0163578634367981,2,-0.126212034884346,0.447455184286932,0.573667219171278,-0.186883296385377,0.0110881886400156,"PET",-1.61461667030367,1.24085007753292,2.8554667478366,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.39540619938744,0.0177007379422056,0.0931504220441275,0.697661976730752,0.604511554686624,0.39540619938744,0.0177007379422056,0.0931504220441275,0.697661976730752,0.604511554686624,0.355151862667985,0.0301780271440962,2,-0.0265950866665372,0.736898812002507,0.763493898669044,-0.974102031789084,0.0134425086555149,"PET",-2.91396686086846,0.96576279729029,3.87972965815875,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.30739662240754,0.0115043429139462,0.0582632963708605,0.556529948444219,0.498266652073359,0.30739662240754,0.0115043429139462,0.0582632963708605,0.556529948444219,0.498266652073359,0.272991180431613,0.0200137424528196,2,-0.0415603678474547,0.587542728710681,0.629103096558136,-1.50613120758351,0.000937136803698345,"PET",-3.12685949536419,0.114597080197174,3.24145657556136,TRUE,TRUE,FALSE,TRUE,1,"none"
0.3,0.1,20,20,0,0.264157423767241,0.0513326769271494,-0.232713002019503,0.761027849553985,0.993740851573488,0.264157423767241,0.0513326769271494,-0.232713002019503,0.761027849553985,0.993740851573488,0.264157423767241,0.0513326769271494,0,-0.232713002019503,0.761027849553985,0.993740851573488,-0.199904436657054,0.0553587563968278,"PET",-2.58777115093447,2.18796227762037,4.77573342855484,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.234802791357655,0.01043397689155,-0.00489465673997042,0.47450023945528,0.47939489619525,0.234802791357655,0.01043397689155,-0.00489465673997042,0.47450023945528,0.47939489619525,0.234802791357655,0.01043397689155,0,-0.00489465673997042,0.47450023945528,0.47939489619525,1.27782751575934,0.00854110847778151,"PET",-0.394485584805637,2.95014061632432,3.34462620112996,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.308071169000037,0.000211146035430941,0.208326867188113,0.40781547081196,0.199488603623848,0.308071169000037,0.000211146035430941,0.208326867188113,0.40781547081196,0.199488603623848,0.353824409211096,0.00987512719955733,3,0.125187222429155,0.582461595993037,0.457274373563882,0.910707334610887,0,"PEESE",0.119198300091172,1.7022163691306,1.58301806903943,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.261035731357312,0.0139838291613134,-0.0102261356528463,0.532297598367469,0.542523734020316,0.261035731357312,0.0139838291613134,-0.0102261356528463,0.532297598367469,0.542523734020316,0.243079629214717,0.0182220167905984,1,-0.0601034571165497,0.546262715545983,0.606366172662532,-1.25714819134609,0.00718348307729544,"PET",-2.97158677329349,0.457290390601315,3.4288771638948,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.31332892642102,0.0295314926108146,-0.0687028949746174,0.695360747816658,0.764063642791276,0.31332892642102,0.0295314926108146,-0.0687028949746174,0.695360747816658,0.764063642791276,0.31332892642102,0.0295314926108146,0,-0.0687028949746174,0.695360747816658,0.764063642791276,-0.326803515886819,0.0318003205164507,"PET",-2.52287339890513,1.86926636713149,4.39213976603662,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.2906755401203,0.00891639718982489,0.0665641490274469,0.514786931213154,0.448222782185707,0.2906755401203,0.00891639718982489,0.0665641490274469,0.514786931213154,0.448222782185707,0.2906755401203,0.00891639718982489,0,0.0665641490274469,0.514786931213154,0.448222782185707,-0.601875092997485,0.00959902729833109,"PET",-2.49031452402617,1.2865643380312,3.77687886205737,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.24528287804189,0.00168325026722564,0.115164364892172,0.375401391191609,0.260237026299437,0.24528287804189,0.00168325026722564,0.115164364892172,0.375401391191609,0.260237026299437,0.318252636919268,0.015722189106079,5,0.0406537735723342,0.595851500266202,0.555197726693868,0.997811491055506,0.00226556440741135,"PET",-0.564586880044415,2.56020986215543,3.12479674219984,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.272973565847728,0.00219637977809467,0.134667882919498,0.411279248775958,0.27661136585646,0.272973565847728,0.00219637977809467,0.134667882919498,0.411279248775958,0.27661136585646,0.272973565847728,0.00219637977809467,0,0.134667882919498,0.411279248775958,0.27661136585646,0.327668072622493,0.00446662500015454,"PET",-1.23212480833138,1.88746095357637,3.11958576190775,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.287326784892669,0.0157059067836614,0.000381458543578905,0.574272111241759,0.573890652698181,0.287326784892669,0.0157059067836614,0.000381458543578905,0.574272111241759,0.573890652698181,0.287326784892669,0.0157059067836614,0,0.000381458543578905,0.574272111241759,0.573890652698181,1.68843616893378,0.015918720760331,"PET",-1.12389036626187,4.50076270412943,5.6246530703913,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.19933692129011,0.015248623899513,-0.0832466303752545,0.481920472955474,0.565167103330728,0.19933692129011,0.015248623899513,-0.0832466303752545,0.481920472955474,0.565167103330728,0.19933692129011,0.015248623899513,0,-0.0832466303752545,0.481920472955474,0.565167103330728,1.53346694808578,0.0107869517261191,"PET",-0.170939645068532,3.2378735412401,3.40881318630863,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.425110610068974,0.00539879873184679,0.239320910740392,0.610900309397557,0.371579398657165,0.425110610068974,0.00539879873184679,0.239320910740392,0.610900309397557,0.371579398657165,0.498953649115875,0.0313309083703247,4,0.113955864630628,0.883951433601122,0.769995568970494,1.33648450945584,0.00350548294132081,"PET",-0.241190986829094,2.91416000574077,3.15535099256987,TRUE,TRUE,TRUE,TRUE,1,"none"
0.3,0.1,20,20,0,0.37443935482397,0.0453078648467251,-0.0935499702418625,0.842428679889802,0.935978650131665,0.37443935482397,0.0453078648467251,-0.0935499702418625,0.842428679889802,0.935978650131665,0.37443935482397,0.0453078648467251,0,-0.0935499702418625,0.842428679889802,0.935978650131665,0.0436244823018113,0.0493173923402643,"PET",-2.43078559436346,2.51803455896708,4.94882015333054,TRUE,TRUE,TRUE,TRUE,1,"none"
